id,code,description
uom.product_uom_cm,CMT,Centimeter
uom.product_uom_qt,GLL,gallon (US)
uom.product_uom_day,DAY,day
uom.product_uom_dozen,DZN,Dozen
uom.product_uom_floz,OZI,fluid ounce (UK)
uom.product_uom_gram,GR,gram
uom.product_uom_gal,GLL,gallon (US)
uom.product_uom_hour,HUR,hour
uom.product_uom_kgm,KGM,Kilogram
uom.product_uom_km,KTM,kilometre
uom.product_uom_lb,LBR,Pound
uom.product_uom_litre,LTR,Litre
uom.product_uom_meter,MTR,metre
uom.product_uom_mile,SMI,mile (statute mile)
uom.product_uom_oz,ONZ,ounce
uom.product_uom_foot,FOT,Foot
uom.product_uom_inch,INH,Inch
uom.product_uom_ton,LTN,ton (UK) or longton (US)
uom.product_uom_unit,NIU,number of international units
